Região,UF,Município / DSEI,Cód. IBGE,Perfil município
Nordeste,BA,Aramari,290220,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Arataca,290225,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Aratuípe,290230,Perfil 7 - Extrema Pobreza
Nordeste,BA,Aurelino Leal,290240,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Baianópolis,290250,Perfil 7 - Extrema Pobreza
Nordeste,BA,Baixa Grande,290260,Perfil 7 - Extrema Pobreza
Nordeste,BA,Banzaê,290265,Perfil 7 - Extrema Pobreza
Nordeste,BA,Barra,290270,Perfil 7 - Extrema Pobreza
Nordeste,BA,Barra da Estiva,290280,Perfil 7 - Extrema Pobreza
Nordeste,BA,Barra do Choça,290290,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Barra do Mendes,290300,Perfil 7 - Extrema Pobreza
Nordeste,BA,Barra do Rocha,290310,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Barreiras,290320,Perfil 1 - Grupos III e IV do PAB
Nordeste,BA,Barro Alto,290323,Perfil 7 - Extrema Pobreza
Nordeste,BA,Barro Preto,290330,Perfil 4 - Grupo I do PAB
Nordeste,BA,Barrocas,290327,Perfil 7 - Extrema Pobreza
Nordeste,BA,Belmonte,290340,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Belo Campo,290350,Perfil 7 - Extrema Pobreza
Nordeste,BA,Biritinga,290360,Perfil 7 - Extrema Pobreza
Nordeste,BA,Boa Nova,290370,Perfil 7 - Extrema Pobreza
Nordeste,BA,Boa Vista do Tupim,290380,Perfil 7 - Extrema Pobreza
Nordeste,BA,Bom Jesus da Lapa,290390,Perfil 7 - Extrema Pobreza
Nordeste,BA,Bom Jesus da Serra,290395,Perfil 7 - Extrema Pobreza
Nordeste,BA,Boninal,290400,Perfil 7 - Extrema Pobreza
Nordeste,BA,Bonito,290405,Perfil 7 - Extrema Pobreza
Nordeste,BA,Boquira,290410,Perfil 7 - Extrema Pobreza
Nordeste,BA,Botuporã,290420,Perfil 7 - Extrema Pobreza
Nordeste,BA,Brejões,290430,Perfil 7 - Extrema Pobreza
Nordeste,BA,Brejolândia,290440,Perfil 7 - Extrema Pobreza
Nordeste,BA,Brotas de Macaúbas,290450,Perfil 7 - Extrema Pobreza
Nordeste,BA,Brumado,290460,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Buerarema,290470,Perfil 4 - Grupo I do PAB
Nordeste,BA,Buritirama,290475,Perfil 7 - Extrema Pobreza
Nordeste,BA,Caatiba,290480,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Cabaceiras do Paraguaçu,290485,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cachoeira,290490,Perfil 4 - Grupo I do PAB
Nordeste,BA,Caculé,290500,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Caém,290510,Perfil 7 - Extrema Pobreza
Nordeste,BA,Caetanos,290515,Perfil 7 - Extrema Pobreza
Nordeste,BA,Caetité,290520,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cafarnaum,290530,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cairu,290540,Perfil 4 - Grupo I do PAB
Nordeste,BA,Caldeirão Grande,290550,Perfil 7 - Extrema Pobreza
Nordeste,BA,Camacan,290560,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Camaçari,290570,Perfil 3 - Capitais e RM
Nordeste,BA,Camamu,290580,Perfil 7 - Extrema Pobreza
Nordeste,BA,Campo Alegre de Lourdes,290590,Perfil 7 - Extrema Pobreza
Nordeste,BA,Campo Formoso,290600,Perfil 7 - Extrema Pobreza
Nordeste,BA,Canápolis,290610,Perfil 7 - Extrema Pobreza
Nordeste,BA,Canarana,290620,Perfil 7 - Extrema Pobreza
Nordeste,BA,Canavieiras,290630,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Candeal,290640,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Candeias,290650,Perfil 3 - Capitais e RM
Nordeste,BA,Candiba,290660,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cândido Sales,290670,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cansanção,290680,Perfil 7 - Extrema Pobreza
Nordeste,BA,Canudos,290682,Perfil 7 - Extrema Pobreza
Nordeste,BA,Capela do Alto Alegre,290685,Perfil 7 - Extrema Pobreza
Nordeste,BA,Capim Grosso,290687,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Caraíbas,290689,Perfil 7 - Extrema Pobreza
Nordeste,BA,Caravelas,290690,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Cardeal da Silva,290700,Perfil 7 - Extrema Pobreza
Nordeste,BA,Carinhanha,290710,Perfil 7 - Extrema Pobreza
Nordeste,BA,Casa Nova,290720,Perfil 7 - Extrema Pobreza
Nordeste,BA,Castro Alves,290730,Perfil 7 - Extrema Pobreza
Nordeste,BA,Catolândia,290740,Perfil 7 - Extrema Pobreza
Nordeste,BA,Catu,290750,Perfil 2 - Grupo II do PAB
Nordeste,BA,Caturama,290755,Perfil 7 - Extrema Pobreza
Nordeste,BA,Central,290760,Perfil 7 - Extrema Pobreza
Nordeste,BA,Chorrochó,290770,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cícero Dantas,290780,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cipó,290790,Perfil 7 - Extrema Pobreza
Nordeste,BA,Coaraci,290800,Perfil 4 - Grupo I do PAB
Nordeste,BA,Cocos,290810,Perfil 7 - Extrema Pobreza
Nordeste,BA,Conceição da Feira,290820,Perfil 4 - Grupo I do PAB
Nordeste,BA,Conceição do Almeida,290830,Perfil 7 - Extrema Pobreza
Nordeste,BA,Conceição do Coité,290840,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Conceição do Jacuípe,290850,Perfil 4 - Grupo I do PAB
Nordeste,BA,Conde,290860,Perfil 7 - Extrema Pobreza
Nordeste,BA,Condeúba,290870,Perfil 7 - Extrema Pobreza
Nordeste,BA,Contendas do Sincorá,290880,Perfil 7 - Extrema Pobreza
Nordeste,BA,Coração de Maria,290890,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cordeiros,290900,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Coribe,290910,Perfil 7 - Extrema Pobreza
Nordeste,BA,Coronel João Sá,290920,Perfil 7 - Extrema Pobreza
Nordeste,BA,Correntina,290930,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cotegipe,290940,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cravolândia,290950,Perfil 7 - Extrema Pobreza
Nordeste,BA,Crisópolis,290960,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cristópolis,290970,Perfil 7 - Extrema Pobreza
Nordeste,BA,Cruz das Almas,290980,Perfil 2 - Grupo II do PAB
Nordeste,BA,Curaçá,290990,Perfil 7 - Extrema Pobreza
Nordeste,BA,Dário Meira,291000,Perfil 7 - Extrema Pobreza
Nordeste,BA,Dias d'Ávila,291005,Perfil 3 - Capitais e RM
Nordeste,BA,DISTRITO SANITARIO ESPECIAL INDIGENA BAHIA,292740,Perfil 8 - Saúde Indígena
Nordeste,BA,Dom Basílio,291010,Perfil 7 - Extrema Pobreza
Nordeste,BA,Dom Macedo Costa,291020,Perfil 7 - Extrema Pobreza
Nordeste,BA,Elísio Medrado,291030,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Encruzilhada,291040,Perfil 7 - Extrema Pobreza
Nordeste,BA,Entre Rios,291050,Perfil 7 - Extrema Pobreza
Nordeste,BA,Érico Cardoso,290050,Perfil 7 - Extrema Pobreza
Nordeste,BA,Esplanada,291060,Perfil 7 - Extrema Pobreza
Nordeste,BA,Euclides da Cunha,291070,Perfil 7 - Extrema Pobreza
Nordeste,BA,Eunápolis,291072,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Fátima,291075,Perfil 7 - Extrema Pobreza
Nordeste,BA,Feira da Mata,291077,Perfil 7 - Extrema Pobreza
Nordeste,BA,Feira de Santana,291080,Perfil 5 - G100
Nordeste,BA,Filadélfia,291085,Perfil 7 - Extrema Pobreza
Nordeste,BA,Firmino Alves,291090,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Floresta Azul,291100,Perfil 7 - Extrema Pobreza
Nordeste,BA,Formosa do Rio Preto,291110,Perfil 7 - Extrema Pobreza
Nordeste,BA,Gandu,291120,Perfil 4 - Grupo I do PAB
Nordeste,BA,Gavião,291125,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Gentio do Ouro,291130,Perfil 7 - Extrema Pobreza
Nordeste,BA,Glória,291140,Perfil 7 - Extrema Pobreza
Nordeste,BA,Gongogi,291150,Perfil 7 - Extrema Pobreza
Nordeste,BA,Governador Mangabeira,291160,Perfil 7 - Extrema Pobreza
Nordeste,BA,Guajeru,291165,Perfil 7 - Extrema Pobreza
Nordeste,BA,Guanambi,291170,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Guaratinga,291180,Perfil 7 - Extrema Pobreza
Nordeste,BA,Heliópolis,291185,Perfil 7 - Extrema Pobreza
Nordeste,BA,Iaçu,291190,Perfil 7 - Extrema Pobreza
Nordeste,BA,Ibiassucê,291200,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Ibicaraí,291210,Perfil 7 - Extrema Pobreza
Nordeste,BA,Ibicoara,291220,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Ibicuí,291230,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Ibipeba,291240,Perfil 7 - Extrema Pobreza
Nordeste,BA,Ibipitanga,291250,Perfil 7 - Extrema Pobreza
Nordeste,BA,Ibiquera,291260,Perfil 7 - Extrema Pobreza
Nordeste,BA,Ibirapitanga,291270,Perfil 7 - Extrema Pobreza
Nordeste,BA,Ibirapuã,291280,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Ibirataia,291290,Perfil 6 - Áreas vulneráveis
Nordeste,BA,Ibitiara,291300,Perfil 7 - Extrema Pobreza
